epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3028,0.95831,0.90042,1.17761,0.87667,0.73909,0.80753,0.50622,1.37314,1.43603,1.40528,0.0006179,0.0006179,0.0006179
88,3062.38,0.96618,0.90266,1.2247,0.87607,0.73252,0.82629,0.53559,1.29667,1.20228,1.37303,0.000608468,0.000608468,0.000608468
89,3097.27,0.982,0.92394,1.22596,0.89077,0.75214,0.82791,0.52625,1.26767,1.16582,1.3674,0.000599037,0.000599037,0.000599037
90,3131.94,0.98983,0.9065,1.2087,0.90044,0.71026,0.80869,0.52053,1.29692,1.1907,1.39627,0.000589605,0.000589605,0.000589605
91,3166.49,0.98423,0.89208,1.23021,0.92137,0.72706,0.76101,0.45494,1.45199,1.46403,1.45852,0.000580174,0.000580174,0.000580174
92,3200.78,0.95288,0.85145,1.19263,0.90853,0.69406,0.82017,0.49464,1.38362,1.10088,1.45414,0.000570743,0.000570743,0.000570743
93,3235.13,0.97685,0.90915,1.21544,0.81434,0.73252,0.78201,0.48215,1.37398,1.55666,1.41637,0.000561311,0.000561311,0.000561311
94,3269.56,0.9576,0.91332,1.18358,0.84417,0.80944,0.87278,0.53404,1.24966,0.91814,1.36001,0.00055188,0.00055188,0.00055188
95,3304.39,0.93644,0.87599,1.18471,0.97133,0.6967,0.86457,0.52435,1.32773,0.88457,1.38475,0.000542448,0.000542448,0.000542448
96,3339.14,0.96536,0.91431,1.20214,0.74564,0.77253,0.8007,0.52215,1.26517,1.19588,1.34718,0.000533017,0.000533017,0.000533017
97,3373.75,0.94021,0.87672,1.17848,0.94471,0.68885,0.82315,0.51713,1.32211,1.12591,1.37639,0.000523586,0.000523586,0.000523586
98,3408.19,0.92651,0.87809,1.16286,0.88051,0.73252,0.86028,0.54384,1.29692,0.93922,1.37624,0.000514154,0.000514154,0.000514154
99,3442.72,0.88765,0.85115,1.14498,0.91237,0.72923,0.83644,0.54312,1.33031,1.12347,1.40229,0.000504723,0.000504723,0.000504723
100,3477.59,0.92686,0.89258,1.17958,0.90031,0.7043,0.79774,0.51328,1.3967,1.19915,1.47583,0.000495291,0.000495291,0.000495291
101,3512.52,0.91157,0.87709,1.17313,0.94524,0.67133,0.83081,0.51866,1.41413,1.18461,1.42105,0.00048586,0.00048586,0.00048586
102,3547.1,0.92651,0.85959,1.18825,0.97143,0.70073,0.86203,0.5637,1.25493,0.9419,1.36244,0.000476429,0.000476429,0.000476429
103,3581.74,0.90435,0.85469,1.16325,0.92497,0.70979,0.84342,0.51383,1.29932,1.1414,1.35706,0.000466997,0.000466997,0.000466997
104,3616.07,0.87815,0.84026,1.14614,0.84995,0.80944,0.89033,0.55453,1.36715,0.91158,1.45776,0.000457566,0.000457566,0.000457566
105,3650.64,0.91192,0.84906,1.16212,0.88924,0.73252,0.85456,0.55072,1.3321,1.03126,1.38105,0.000448134,0.000448134,0.000448134
106,3685.25,0.87224,0.85526,1.14897,0.86396,0.77098,0.82865,0.51615,1.37957,1.09692,1.43707,0.000438703,0.000438703,0.000438703
107,3720.28,0.89877,0.85649,1.15666,0.87812,0.74435,0.8582,0.54254,1.39793,1.01244,1.4685,0.000429272,0.000429272,0.000429272
108,3754.8,0.845,0.8426,1.13659,0.8552,0.76916,0.85452,0.56087,1.3483,0.98489,1.41985,0.00041984,0.00041984,0.00041984
109,3789.36,0.88661,0.83332,1.14389,0.93807,0.65559,0.74197,0.46502,1.45317,1.53879,1.40295,0.000410409,0.000410409,0.000410409
110,3823.59,0.89691,0.86298,1.15078,0.94825,0.67133,0.84304,0.53956,1.37652,1.1415,1.43151,0.000400977,0.000400977,0.000400977
111,3858.21,0.85967,0.84676,1.1443,0.8494,0.75524,0.76769,0.49347,1.41412,1.40987,1.41529,0.000391546,0.000391546,0.000391546
112,3893.04,0.88877,0.80089,1.14514,0.94311,0.67133,0.75779,0.48635,1.32283,1.0702,1.39143,0.000382115,0.000382115,0.000382115
113,3927.62,0.89871,0.88306,1.16058,0.85923,0.77424,0.81189,0.52348,1.34668,1.1672,1.41709,0.000372683,0.000372683,0.000372683
114,3962.01,0.8166,0.80836,1.10772,0.92907,0.67115,0.78017,0.48332,1.44551,1.28287,1.46583,0.000363252,0.000363252,0.000363252
115,3996.26,0.8309,0.8301,1.11907,0.89379,0.69406,0.7507,0.48188,1.31669,1.44832,1.36775,0.00035382,0.00035382,0.00035382
116,4030.76,0.85159,0.8228,1.1321,0.89975,0.69406,0.83453,0.54111,1.29989,1.14494,1.34027,0.000344389,0.000344389,0.000344389
117,4065.41,0.80835,0.81852,1.09993,0.91486,0.7096,0.81617,0.52854,1.29644,1.13234,1.3421,0.000334958,0.000334958,0.000334958
118,4100.24,0.8423,0.81501,1.12696,0.83448,0.69406,0.71365,0.44778,1.32187,1.23595,1.39701,0.000325526,0.000325526,0.000325526
119,4135.03,0.81808,0.78861,1.11123,0.89949,0.71179,0.79626,0.48589,1.41877,1.21047,1.50254,0.000316095,0.000316095,0.000316095
120,4169.62,0.80993,0.81819,1.12062,0.89323,0.69406,0.75293,0.48857,1.36104,1.21825,1.45576,0.000306663,0.000306663,0.000306663
121,4204.11,0.83791,0.79309,1.13412,0.90351,0.69406,0.78491,0.49892,1.39984,1.32584,1.4547,0.000297232,0.000297232,0.000297232
122,4238.55,0.82473,0.81711,1.12461,0.8768,0.73252,0.78612,0.48118,1.42561,1.25475,1.45737,0.000287801,0.000287801,0.000287801
123,4273.37,0.82454,0.80287,1.10637,0.90334,0.69406,0.71179,0.44302,1.42338,1.30328,1.49189,0.000278369,0.000278369,0.000278369
124,4307.97,0.79683,0.78797,1.09456,0.86943,0.73252,0.7988,0.4693,1.43608,1.13918,1.50579,0.000268938,0.000268938,0.000268938
125,4342.5,0.77156,0.76094,1.08616,0.89883,0.69406,0.70942,0.4634,1.44666,1.39921,1.43845,0.000259506,0.000259506,0.000259506
126,4376.69,0.81719,0.78661,1.10506,0.89959,0.69406,0.74446,0.47714,1.36604,1.24971,1.45478,0.000250075,0.000250075,0.000250075
127,4411.25,0.81288,0.78827,1.11492,0.89817,0.71237,0.76439,0.46508,1.40107,1.3024,1.40678,0.000240644,0.000240644,0.000240644
128,4445.88,0.79039,0.78069,1.077,0.89848,0.71237,0.85093,0.51587,1.41298,1.10924,1.49753,0.000231212,0.000231212,0.000231212
129,4480.62,0.78411,0.78897,1.08439,0.89959,0.70375,0.79907,0.49179,1.42051,1.05771,1.50106,0.000221781,0.000221781,0.000221781
130,4515,0.77465,0.74722,1.08366,0.8826,0.73252,0.82229,0.52308,1.41579,1.0806,1.45448,0.000212349,0.000212349,0.000212349
131,4549.74,0.74917,0.76947,1.06981,0.86879,0.77098,0.82033,0.52684,1.37054,1.02674,1.46714,0.000202918,0.000202918,0.000202918
132,4583.88,0.76648,0.75556,1.08566,0.86916,0.73252,0.82492,0.51125,1.3982,1.10406,1.44113,0.000193487,0.000193487,0.000193487
133,4618.55,0.75937,0.7367,1.06932,0.88007,0.73252,0.81403,0.51309,1.37791,1.10886,1.46178,0.000184055,0.000184055,0.000184055
134,4653.33,0.77554,0.79901,1.08694,0.90961,0.69406,0.78507,0.48457,1.44092,1.17774,1.46875,0.000174624,0.000174624,0.000174624
135,4688.28,0.76232,0.75055,1.07644,0.90154,0.7118,0.78607,0.50035,1.46175,1.23063,1.49822,0.000165192,0.000165192,0.000165192
136,4722.66,0.76675,0.75734,1.08512,0.91225,0.70668,0.7683,0.46347,1.50137,1.22136,1.57252,0.000155761,0.000155761,0.000155761
137,4757.03,0.76433,0.76029,1.08908,0.86519,0.77098,0.80384,0.49367,1.45159,1.1131,1.52782,0.00014633,0.00014633,0.00014633
138,4791.47,0.74954,0.7237,1.0641,0.86453,0.78551,0.81995,0.48899,1.44579,1.05024,1.5078,0.000136898,0.000136898,0.000136898
139,4826.38,0.77362,0.75382,1.07282,0.88541,0.75292,0.78739,0.4595,1.43582,1.13451,1.48361,0.000127467,0.000127467,0.000127467
140,4861.04,0.74732,0.73387,1.06553,0.87741,0.73252,0.77536,0.49741,1.42289,1.11159,1.48267,0.000118035,0.000118035,0.000118035
141,4897.77,0.73889,0.72709,1.08917,0.89578,0.7472,0.81409,0.51415,1.3931,0.91857,1.45338,0.000108604,0.000108604,0.000108604
142,4930.54,0.71532,0.6895,1.07807,0.87693,0.73252,0.81586,0.51565,1.39173,0.99413,1.46931,9.91726e-05,9.91726e-05,9.91726e-05
143,4963.19,0.6819,0.67554,1.0571,0.87755,0.73252,0.80815,0.4971,1.43259,1.02314,1.51049,8.97412e-05,8.97412e-05,8.97412e-05
144,4995.85,0.68426,0.67794,1.06933,0.87844,0.74634,0.79932,0.51249,1.42969,1.07484,1.49689,8.03098e-05,8.03098e-05,8.03098e-05
145,5029.02,0.70414,0.69695,1.06227,0.86073,0.77098,0.84292,0.53771,1.42655,1.03679,1.5099,7.08784e-05,7.08784e-05,7.08784e-05
146,5062.02,0.68373,0.6703,1.05205,0.87887,0.74953,0.81957,0.51268,1.41752,1.10507,1.49801,6.1447e-05,6.1447e-05,6.1447e-05
147,5094.88,0.67538,0.68201,1.05488,0.87877,0.7513,0.82002,0.52136,1.4497,1.04352,1.5385,5.20156e-05,5.20156e-05,5.20156e-05
148,5127.32,0.67495,0.65803,1.03854,0.88428,0.73252,0.80667,0.50799,1.46005,1.17071,1.53327,4.25842e-05,4.25842e-05,4.25842e-05
149,5160.12,0.66751,0.66259,1.03659,0.85965,0.73252,0.80168,0.51231,1.43894,1.21927,1.49403,3.31528e-05,3.31528e-05,3.31528e-05
150,5193,0.67447,0.63369,1.05527,0.85881,0.77098,0.80594,0.5136,1.44845,1.14992,1.52519,2.37214e-05,2.37214e-05,2.37214e-05
