epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2146.83,0.7489,0.80166,1.10816,0.86287,0.78666,0.90161,0.58071,1.32357,0.93158,1.35056,0.000240644,0.000240644,0.000240644
86,2171.82,0.76513,0.769,1.11083,0.82403,0.84499,0.90506,0.59214,1.31892,0.88045,1.35005,0.000226497,0.000226497,0.000226497
87,2196.86,0.77707,0.78209,1.09146,0.82569,0.84694,0.88859,0.58465,1.27926,0.87435,1.35264,0.000212349,0.000212349,0.000212349
88,2221.65,0.77036,0.75002,1.12815,0.87284,0.77098,0.89195,0.57971,1.30189,0.98215,1.37218,0.000198202,0.000198202,0.000198202
89,2246.76,0.79458,0.80525,1.1391,0.88724,0.73252,0.88946,0.5613,1.34874,1.11308,1.42147,0.000184055,0.000184055,0.000184055
90,2271.79,0.77561,0.78237,1.11581,0.82528,0.84459,0.90572,0.61227,1.28674,0.89718,1.3339,0.000169908,0.000169908,0.000169908
91,2300.73,0.74333,0.72253,1.12592,0.81714,0.83217,0.89161,0.58285,1.34104,1.05164,1.3967,0.000155761,0.000155761,0.000155761
92,2325.75,0.71984,0.71187,1.11306,0.85364,0.80944,0.91359,0.59398,1.26722,0.83668,1.35517,0.000141614,0.000141614,0.000141614
93,2350.72,0.70669,0.68416,1.10331,0.83989,0.75524,0.87625,0.55953,1.36695,1.19033,1.44578,0.000127467,0.000127467,0.000127467
94,2375.64,0.69054,0.67227,1.08299,0.86769,0.77098,0.91783,0.58322,1.30594,0.84617,1.35632,0.00011332,0.00011332,0.00011332
95,2400.44,0.68401,0.66378,1.07781,0.84296,0.79371,0.89718,0.57558,1.28318,0.94227,1.34561,9.91726e-05,9.91726e-05,9.91726e-05
96,2425.2,0.68334,0.64841,1.07126,0.84837,0.82248,0.90685,0.59199,1.30411,0.88366,1.34376,8.50255e-05,8.50255e-05,8.50255e-05
97,2450.12,0.6672,0.65421,1.08414,0.83938,0.79371,0.87579,0.56253,1.34013,0.97982,1.39142,7.08784e-05,7.08784e-05,7.08784e-05
98,2475,0.66062,0.65021,1.07408,0.82042,0.84425,0.905,0.57544,1.34359,0.94541,1.39698,5.67313e-05,5.67313e-05,5.67313e-05
99,2499.67,0.67196,0.64147,1.07346,0.83245,0.81069,0.90403,0.5899,1.31054,0.91429,1.37614,4.25842e-05,4.25842e-05,4.25842e-05
100,2524.4,0.65517,0.64305,1.06699,0.82665,0.83217,0.89719,0.58114,1.31552,0.89835,1.38096,2.84371e-05,2.84371e-05,2.84371e-05
